entity,machineCodeOrganization,handCodeOrganization
"('Secretary', 'O')",FALSE,FALSE
"('of', 'O')",FALSE,FALSE
"('State', 'ORGANIZATION')",TRUE,FALSE
"('George', 'PERSON')",FALSE,FALSE
"('P.', 'PERSON')",FALSE,FALSE
"('Shultz', 'PERSON')",FALSE,FALSE
"('confirmed', 'O')",FALSE,FALSE
"('today', 'O')",FALSE,FALSE
"('that', 'O')",FALSE,FALSE
"('Vietnam', 'LOCATION')",FALSE,FALSE
"('had', 'O')",FALSE,FALSE
"('relented', 'O')",FALSE,FALSE
"('and', 'O')",FALSE,FALSE
"('agreed', 'O')",FALSE,FALSE
"('to', 'O')",FALSE,FALSE
"('American', 'O')",FALSE,FALSE
"('conditions', 'O')",FALSE,FALSE
"('for', 'O')",FALSE,FALSE
"('a', 'O')",FALSE,FALSE
"('meeting', 'O')",FALSE,FALSE
"('with', 'O')",FALSE,FALSE
"('a', 'O')",FALSE,FALSE
"('special', 'O')",FALSE,FALSE
"('envoy', 'O')",FALSE,FALSE
"('to', 'O')",FALSE,FALSE
"('discuss', 'O')",FALSE,FALSE
"('the', 'O')",FALSE,FALSE
"('issue', 'O')",FALSE,FALSE
"('of', 'O')",FALSE,FALSE
"('missing', 'O')",FALSE,FALSE
"('servicemen', 'O')",FALSE,FALSE
"('.', 'O')",FALSE,FALSE
"('But', 'O')",FALSE,FALSE
"('Mr.', 'O')",FALSE,FALSE
"('Shultz', 'PERSON')",FALSE,FALSE
"(',', 'O')",FALSE,FALSE
"('speaking', 'O')",FALSE,FALSE
"('at', 'O')",FALSE,FALSE
"('the', 'O')",FALSE,FALSE
"('annual', 'O')",FALSE,FALSE
"('meeting', 'O')",FALSE,FALSE
"('of', 'O')",FALSE,FALSE
"('the', 'O')",FALSE,FALSE
"('National', 'ORGANIZATION')",TRUE,TRUE
"('League', 'ORGANIZATION')",TRUE,TRUE
"('of', 'ORGANIZATION')",TRUE,TRUE
"('Families', 'ORGANIZATION')",TRUE,TRUE
"('of', 'ORGANIZATION')",TRUE,TRUE
"('American', 'ORGANIZATION')",TRUE,TRUE
"('Prisoners', 'ORGANIZATION')",TRUE,TRUE
"('and', 'O')",FALSE,TRUE
"('Missing', 'O')",FALSE,TRUE
"('in', 'O')",FALSE,TRUE
"('Southeast', 'LOCATION')",FALSE,TRUE
"('Asia', 'LOCATION')",FALSE,TRUE
"(',', 'O')",FALSE,FALSE
"('also', 'O')",FALSE,FALSE
"('warned', 'O')",FALSE,FALSE
"('that', 'O')",FALSE,FALSE
"('there', 'O')",FALSE,FALSE
"('might', 'O')",FALSE,FALSE
"('not', 'O')",FALSE,FALSE
"('be', 'O')",FALSE,FALSE
"('much', 'O')",FALSE,FALSE
"('progress', 'O')",FALSE,FALSE
"('on', 'O')",FALSE,FALSE
"('the', 'O')",FALSE,FALSE
"('issue', 'O')",FALSE,FALSE
"('.', 'O')",FALSE,FALSE
"('He', 'O')",FALSE,FALSE
"('said', 'O')",FALSE,FALSE
"('it', 'O')",FALSE,FALSE
"('was', 'O')",FALSE,FALSE
"('good', 'O')",FALSE,FALSE
"('that', 'O')",FALSE,FALSE
"('Vietnam', 'LOCATION')",FALSE,FALSE
"('no', 'O')",FALSE,FALSE
"('longer', 'O')",FALSE,FALSE
"('insisted', 'O')",FALSE,FALSE
"('that', 'O')",FALSE,FALSE
"('discussions', 'O')",FALSE,FALSE
"('on', 'O')",FALSE,FALSE
"('missing', 'O')",FALSE,FALSE
"('servicemen', 'O')",FALSE,FALSE
"('be', 'O')",FALSE,FALSE
"('linked', 'O')",FALSE,FALSE
"('with', 'O')",FALSE,FALSE
"('the', 'O')",FALSE,FALSE
"('issue', 'O')",FALSE,FALSE
"('of', 'O')",FALSE,FALSE
"('normalizing', 'O')",FALSE,FALSE
"('relations', 'O')",FALSE,FALSE
"('.', 'O')",FALSE,FALSE
"(""''We"", 'O')",FALSE,FALSE
"('are', 'O')",FALSE,FALSE
"('pleased', 'O')",FALSE,FALSE
"('that', 'O')",FALSE,FALSE
"('the', 'O')",FALSE,FALSE
"('Vietnamese', 'O')",FALSE,FALSE
"('Government', 'O')",FALSE,FALSE
"('has', 'O')",FALSE,FALSE
"('accepted', 'O')",FALSE,FALSE
"('our', 'O')",FALSE,FALSE
"('proposal', 'O')",FALSE,FALSE
"('for', 'O')",FALSE,FALSE
"('a', 'O')",FALSE,FALSE
"('visit', 'O')",FALSE,FALSE
"('by', 'O')",FALSE,FALSE
"('a', 'O')",FALSE,FALSE
"('Presidential', 'O')",FALSE,FALSE
"('emissary', 'O')",FALSE,FALSE
"('on', 'O')",FALSE,FALSE
"('P.O.W', 'O')",FALSE,FALSE
"('.', 'O')",FALSE,FALSE
"('and', 'O')",FALSE,FALSE
"('M.I.A', 'O')",FALSE,FALSE
"('.', 'O')",FALSE,FALSE
"('and', 'O')",FALSE,FALSE
"('other', 'O')",FALSE,FALSE
"('humanitarian', 'O')",FALSE,FALSE
"('issues', 'O')",FALSE,FALSE
"(',', 'O')",FALSE,FALSE
"(""''"", 'O')",FALSE,FALSE
"('he', 'O')",FALSE,FALSE
"('said', 'O')",FALSE,FALSE
"('.', 'O')",FALSE,FALSE
