article,date,clusterNum
   Vietnam rejects UN Human Rights Commission resolution accusing Hanoi of violating human rights in Cambodia.  Western-sponsored resolution condemns 'invasion and occupation of certain regions of Cambodia by foreign forces and the resulting violation of human rights'.  Hanoi radio broadcast says resolution made no mention of brutality by Pol Pot regime (S).  LANGUAGE: ENGLISH  JOURNAL-CODE:  NYT  TYPE: 75-8-                 ,March 16 1980 ,11
"   Pakistan plans to close its embassy in Hanoi, citing statement by Prime Min Pham Van Dong of Vietnam that described disputed state of Kashmir as part of India. Kashmir has been major issue between India and Pakistan, with both claiming territory.  Foreign Ministry spokesman contends Dong's statements were made in bid to buy india's recognition of new Cambodian Government (S).  LANGUAGE: ENGLISH  JOURNAL-CODE:  NYT  TYPE: 102-8                 ",April 12 1980 ,11
"   Pakistan plans to close its embassy in Hanoi, citing statement by Prime Min Pham Van Dong of Vietnam that described disputed state of Kashmir as part of India. Kashmir has been major issue between India and Pakistan, with both claiming territory.  Foreign Ministry spokesman contends Dong's statements were made in bid to buy india's recognition of new Cambodian Government (S).  LANGUAGE: ENGLISH  JOURNAL-CODE:  NYT  TYPE: 102-8                 ",April 12 1980 ,11
   South Korean Information Minister Lee Kyoo Hyun issues statement indicating country would like to re-establish diplomatic relations with Vietnam.  Statement follows repatriation by Hanoi of 3 senior South Korean diplomats detained in Saigon since 1975 (S).  LANGUAGE: ENGLISH  JOURNAL-CODE:  NYT  TYPE: 110-7                 ,April 20 1980 ,11
"    WORLD NEWS BRIEFS; Kenya Agrees to Expand U.S. Use of Military Bases  WASHINGTON, June 27 (Reuters) - Kenya has agreed to expand American access to its military facilities in exchange for increased military and economic aid, the State Department announced today. Details of the agreement are still to be worked out.  Oman has also agreed to such an arrangement, but Secretary of State Edmund S. Muskie indicated this week that there were problems in talks with Somalia.  American officials said the United States wanted to use Kenya's air and port facilities more often and it was logical to expect that depots for fuel and spare parts and possibly even a hangar would be established. United States naval vessels have called at Mombasa for many years.  Dutch Government Survives Censure Vote  THE HAGUE, June 27 (Reuters) -The future of the Dutch Government was in doubt after it narrowly survived a parliamentary censure motion today.  Prime Minister Andreas A.M. van Agt's center-right Cabinet, under fire for its refusal to forbid the sale of oil to South Africa, survived on a vote of 74 to 72 at dawn after an all-night debate.  The embargo would be largely symbolic because South Africa imports little oil from the Netherlands. The Government has said that it favors an embargo but that unilateral action would have little impact. Parliament adjourned today for the summer.  26 Jamaicans Charged In Alleged Coup Plot  KINGSTON, Jamaica, June 27 (UPI) - Twenty-six soldiers were charged today in an alleged plot to overthrow the Government of Prime Minister Michael N. Manley. Seven others still face charges.  As officials investigated the alleged plot, the police reported that four people were shot and killed overnight in separate incidents in Kingston. The police linked some of the shootings to political gang warfare in Kingston's slums.  Bodies of 400 Americans Reported in Hanoi in 1977  WASHINGTON, June 27 (AP) - A former North Vietnamese undertaker, contradicting the Vietnamese Government, said today that he saw the bodies of 400 American servicemen stored at a former prisoner-of-war camp in Hanoi as late as 1977.  Wearing a helmet and a black visor to prevent his identification because of reported threats to his life, the undertaker told a House Foreign Affairs subcommittee that as late as mid-1977 he worked on American remains at 17 Ly Nam De Street in Hanoi, which once housed American prisoners, who called it the Citadel or the Plantation. He said that from 1969 to 1975 he and his subordinates processed many of the 400 American remains there. He said the remains were stored in wooden boxes with their personal effects and identification.  He said he had worked for the Vietnamese Government since 1958 but was expelled last year because he is an ethnic Chinese.  Lieut. Gen. Eugene F. Tighe Jr., director of the Defense Intelligence Agency, said that the information had been corroborated but that Vietnam had refused to acknowledge that any more unidentified American servicemen, dead or alive, were in Vietnam.  LANGUAGE: ENGLISH                      ",June 28 1980 ,11
"   , Thailand, Oct. 6   Two United States officials who visited Hanoi for talks on missing servicemen learned something about Vietnamese tracing procedures but otherwise made little progress, sources close to the talks said here today.  Lieut. Col. Paul Mather and James Tulley, who are based here with the Joint Casualty Resolution Center, held working-level talks with Vietnamese officials from last Wednesday to Saturday on the estimated 2,500 Americans missing since the Vietnam War.  The sources said the Vietnamese officials had refused to agree to hold regular talks on the subject, saying their capability had been reduced by budget and personnel problems resulting from what they called the continuing threat of a Chinese invasion.  But the sources were told that the main difficulty was that the Vietnamese felt that the United States was allied with China, and the officials did not want to cooperate in the tracing efforts.  LANGUAGE: ENGLISH                      ",October 7 1980 ,11
"    LEJEUNE, N.C., Nov. 21   A former prisoner of war, breaking down as he described how he was tortured with leeches in the jungle, testified today that Pfc. Robert Garwood of the Marine Corps tried to persuade him to ''cross over'' and join the North Vietnamese.  Gustav A. Mehrer, a disabled Army veteran from Colorado Springs, said that Private Garwood told him he had the rank of a lieutenant in the North Vietnamese Army, carried a rifle and had documents urging American soldiers to lay down their arms.  Mr. Mehrer's testimony may have been the most damaging so far in the court-martial of Private Garwood on charges of desertion, collaboration, assaulting two fellow prisoners and trying to entice Americans to surrender.  Private Garwood, 34 years old, who could be sentenced to life imprisonment if convicted, was a 19-year-old jeep driver when he disappeared near Danang in 1969. He reappeared early last year when he handed a Finnish businessman in Hanoi a note in which he asked for repatriation.  LANGUAGE: ENGLISH                      ",November 22 1980 ,11
"      The United States and Vietnam have reached agreement on a program that will initially permit the immigration of up to 1,500 Vietnamese and their families to the United States, the State Department said today.  The first departures from Vietnam, totaling about 250 people, are expected to begin Thursday aboard a weekly Air France flight from Ho Chi Minh City, formerly Saigon, to Bangkok, Thailand.  American officials said the Carter Administration, in selecting which Vietnamese were eligible for entry into the United States, was giving priority to those with relatives in the United States or those who were formerly employed by the United States Government.  The State Department spokesman, John H. Trattner, said the program was humanitarian in nature and was unrelated to the question of normalization of relations between Washington and Hanoi.  LANGUAGE: ENGLISH                      ",December 9 1980 ,11
"      Eight years ago at this season the United States carried out the most intensive bombing campaign in history. For 12 days 100 B-52's and 500 smaller planes struck Hanoi and Haiphong. In the Nixon White House the operation was called Linebacker II. To the public it was the Christmas bombing.  Few Americans think about Vietnam now, and fewer want to. But it is necessary to remember, this year especially. For there is reason to doubt that the men about to take power in Washington learned the lessons of the war that came to an end, for Americans, with that last unnecessary paroxysm of violence.  That the Christmas bombing was unnecessary can no longer be doubted. It would never have happened if Henry Kissinger, in negotiating peace terms with Hanoi, had kept the Saigon Government informed and on board. That is clearer than ever from Kissinger's own memoirs.  Just before the 1972 election Kissinger declared that peace was ''at hand.'' But Nugyen Van Thieu and his colleagues in Saigon, surprised by the terms agreed with Hanoi, blocked them and forced the last bloody chapter.  Thieu demanded 69 changes in the agreement, Kissinger says in his memoirs, ''leaving almost no paragraph of the draft document untouched.'' At the next meeting with the Communists Kissinger put the 69 points forward. But the list was ''so preposterous,'' he writes, that ''it must have strengthened Hanoi's already strong determination to dig in its heels.'' Hanoi then demanded changes in its favor.  The American reply was the Christmas bombing. It was Alexander Haig, Kissinger's deputy, who urged the use of B-52's. Then Haig went to Saigon to explain to President Thieu that the United States was ''brutalizing'' North Vietnam.  When the agreement was finally signed in January, how did it differ from the October draft? Kissinger's book says: ''The phrase 'administrative structure' to describe the National Council of National Reconciliation and Concord had been dropped... The Demilitarized Zone was explicitly reaffirmed... A number of invidious references to the United States had been eliminated.'' As Kissinger lists these and other changes, they are almost macabre in their triviality.  The real reason for the bombing is evident. It was intended to punish the party that had agreed, Hanoi, in order to reassure the party that had balked at the terms, Saigon. The bombing - and all the killing in November and December - were the price paid for Kissinger's deception of the Saigon Government during the peace talks.  The bombing was the symbol of a much larger failure: the continuation of the war for four years after every informed person knew it could not be won. The price of that failure was and still is enormous.  From 1969 through 1972 the United States spent $50-billion on the Indochina war, dropped 4 million tons of bombs, lost 20,492 American lives. But the highest cost was not measurable in figures. It was the further polarization of this country, the political embitterment.  How much might have been saved if Richard Nixon and Henry Kissinger had really come to Washington in January 1969 determined to liquidate the war. But Nixon, raising his fears about himself to the level of national policy, said we had to continue the war and intensify the destruction or else the United States would be seen as ''a pitiful helpless giant.''  The most disturbing thing about the political transition now taking place in Washington is the sense that the helpless giant syndrome may again become a mainspring of American policy. It is not just the symbolic figure of General Haig. Too many people claiming to speak in Ronald Reagan's name seem to feel that the United States must flex its muscles to prove that it is not weak. There have been other frustrations for Americans since Vietnam, and it is a time of dangerous temptation to the misuse of power.  We have to remember what happened to us in Vietnam. The United States pursued ''victory'' there - a victory unattainable by means that for us were politically or morally supportable - in a war remote from any real American security interest. By doing so, year after obsessive year, we inflicted terrible wounds not only on the land and people of Vietnam and Cambodia and Laos but on ourselves.  The lesson is that effective American strength depends on restraint and wisdom in its use. Wasting our substance in wars remote from U.  S. interests does not impress the world. Nor does it stiffen the will of the American people to confront situations where our fate may really be engaged.  But that is not all there is to remember about Vietnam. The men in Washington who pursued the war knew it was unpopular, and so they turned increasingly to secret means. In their fearful obsession with secrecy they wire-tapped and conducted break-ins and deceived Congress and faked official military records. Nixon even ruled out any public explanation of those last twelve bloody days of bombing.  The end justified the means.  Now politicians are talking again about the need for secrecy and covert action and the hard-nosed use of power. And so we must remember: Beware obsession. Beware secrecy. Beware concentrated power. Beware men untouched by the moral consequences of their acts.  LANGUAGE: ENGLISH  TYPE: OP-ED                      ",December 22 1980 ,11
"    To the Editor:  A Nov. 13 Op-Ed article by Anthony Barnett quoted me as having told a delegation visiting the White House in April 1980 that ''there is no reason to normalize diplomatic relations with Vietnam other than liberal, neurotic guilt.'' On Dec. 2, you published a letter from Jerry Elmer, field secretary of the American Friends Service Committee, elaborating on the discussion of Vietnam and Cambodia at which I presumably made the remark. I was at the time a member of the National Security Council staff.  I have the highest regard for the American Friends Service Committee, which, along with other American voluntary organizations, has done splendid work in helping to alleviate the recent Cambodian famine, and I want to set the record straight.  U.S. policy in 1979-80 toward both Cambodia and Vietnam was predominantly focused on averting the disaster facing the five million or so Khmer people who had survived the Indochina war, the genocidal Pol Pot regime and the 1978 Vietnamese invasion. The U.S.  effort was channeled through the International Committee of the Red Cross and the U.N. Children's Fund. The U.S. Government provided $118 million and American private groups - including the A.F.S.C. - over $50 million.  One of the principal obstacles to the international relief effort was the persistent refusal of the Cambodian authorities installed by the occupying Vietnamese army to allow anything approaching adequate entry of food, or minimal monitoring of its use. In their effort to help break the logjam, President and Mrs. Carter, the N.S.C. staff and the State Department all steadfastly refused to be diverted by political considerations or arguments that the U.S. should take sides.  The question of diplomatic relations had been put on hold following the Vietnamese invasion, but unofficial contacts were always available. The immediate issue was whether hundreds of thousands would live or die. Numerous appeals, through many channels, to Hanoi and its Soviet backers seemed to make clear that they were focusing on the conquest of Cambodia and were indifferent to the fate of the Cambodian people.  Despite U.S. policy and the strong opposition of Vietnam's neighbors to any weakening, I was prepared to argue internally for a policy change if there was any real chance it would break through the local obstacles that thwarted the international humanitarian effort.  However, after scores of consultations, and on the basis of all available information (including Vietnam's own food problem), I concluded there was little or no evidence that that would make any difference.  At the meeting described by Mr. Barnett (who was not present) and Mr. Elmer (who was), a great many things were said. The only remark of mine they chose to quote - assuming that I indeed made that remark - can doubtless be ascribed to fatigue, although I will confess to exasperation: one of the participants had just returned from telling the leadership in Hanoi that the White House and the State Department had ''used the Kampuchean crisis to provide political support for the Pol Pot regime'' and that the funds the U.S.  contributed were only ''ostensibly to be spent for aid to Kampuchea.'' He had also told the Hanoi leaders that Mrs. Carter's visit to refugees in Thailand had been ''part of the President's strategy to override the influence of the N.S.C.''  Anyone who knew the facts knew that this outrageous tissue of lies and distortations could only have the effect of encouraging the Vietnamese rulers to continue their stonewalling, and it is appalling to think how much additional suffering may have been caused by this caricature of the single-minded U.S. efforts to feed the starving. LINCOLN P. BLOOMFIELD, Professor of Political Science, M.I.T., Cambridge, Mass., Dec. 11, 1980  LANGUAGE: ENGLISH  TYPE: Letter                      ",December 29 1980 ,11
