article,date,cluster
"      China said today that growing tension along its border with Vietnam and the deteriorating situation in Indochina had made it impossible to resume peace talks with Hanoi.  The Foreign Ministry said in a statement that a Vietnamese proposal issued on Sept. 12 that the talks, which were broken off in March after eight months of fruitless negotiations, be resumed in Hanoi on Oct. 6 was ''nothing but a trick for propaganda purposes, an attempt to deceive world opinion.''  The Chinese turned down the Hanoi proposal, saying that the Vietnamese are bent on hostility toward China and aggression in Indochina, particularly toward Cambodia. The statement said Hanoi ''does not have the slightest sincerity'' about a negotiated settlement.  LANGUAGE: ENGLISH                      ",September 23 1980 ,2
"      China said today that growing tension along its border with Vietnam and the deteriorating situation in Indochina had made it impossible to resume peace talks with Hanoi.  The Foreign Ministry said in a statement that a Vietnamese proposal issued on Sept. 12 that the talks, which were broken off in March after eight months of fruitless negotiations, be resumed in Hanoi on Oct. 6 was ""nothing but a trick for propaganda purposes, an attempt to deceive world opinion.""  The Chinese turned down the Hanoi proposal, saying that the Vietnamese are bent on hostility toward China and aggression in Indochina, particularly toward Cambodia.  The statement said Hanoi ""does not have the slightest sincerity"" about a negotiated settlement.  LANGUAGE: ENGLISH                      ",September 24 1980 ,2
"      After six hours of talks with Hanoi officials, four American veterans of the Vietnam War expressed hope today that the emotional issue of the 2,500 United States servicemen still missing in Southeast Asia could be resolved in the near future.  Robert O. Muller, executive director of the Vietnam Veterans of America, the leader of the visiting group, urged the Vietnamese to invite the United States to send personnel to assist in the search for the missing Americans. Such a step would ''substantially improve'' Vietnam's relations with the United States and ease the ''logistical burdens'' that the Vietnamese claim to have in hunting for the remains of the servicemen.  Most of the 2,500 servicemen missing in Vietnam, Laos and Cambodia are believed dead, although anguished American families believe that some of them remain alive as prisoners of war. Reagan Administration officials believe that the Vietnamese Government has been uncooperative in the search for the missing Americans, although the Hanoi Government insists that there are no American prisoners of war alive in Vietnam, and all remains have been handed over to the American side.  Vo Hoang, director of the Vietnamese office in charge of finding missing Americans, said that the ''logistical problems were enormous'' in terms of sending out helicopters and search parties to jungles to hunt for the remains. Mr. Hoang told Mr. Muller that there was ''considerable hostility'' in villages to search parties looking for Americans.  Interested In American Proposal  ''The village people ask why are we doing this for the Americans,'' Mr. Hoang said. ''Why do we dwell on the past? Why don't we build the future?''  Nonetheless, Mr. Muller, a 36-year-old former Marine, said that the Vietnamese ''viewed with interest'' his group's proposal to send Americans to Vietnam to join the search.  ''This type of move would remove a very clear obstacle to the development of relations between Hanoi and the United States,'' Mr.  Muller said. ''We told them that, and they knew it.''  The Vietnamese, in a meeting with the four Americans who are here unofficially, also promised to allow more Vietnam War veterans to visit the country.  ''I get the distinct sense that the Vietnamese want to have good relations with the United States Government,'' Mr. Muller said.  Other members of the group who are visiting Vietnam for six days are Michael Harbert, a former Air Force sergeant, Tom Bird, an infantryman during the war with the 1st Air Cavalry Division and John Terzano, a former Navy seaman. All are members of the Vietnam Veterans of America.  Several Blunt Exchanges  The group has held several blunt exchanges with Vietnamese officials and has had some internal bickering and conflicts. This morning, for example, the group reluctantly agreed to acquiesce to a Vietnamese request to lay a wreath at the tomb of Ho Chi Minh, but only after asking the Vietnamese to bar photographs.  The veterans themselves, traveling around the city in Russian-made limousines to meet Vietnamese officials, express a range of emotions as they gaze at Vietnamese families pedaling bicycles over the streets.  ''Its so quiet, and the primitive level of everything here is stunning,'' Mr. Muller said. ''When you see this place it's almost obscene to think what we dumped on these people. There's nothing here.''  Mr. Harbert said that the ''standard opening lines of rhetoric at each meeting about United States imperialism'' disturbed him.  ''I don't like it,'' he said. ''I'd like to reply. They've done some pretty nasty things too.'' Mr. Bird, who is currently director of the Veterans Ensemble Theater in New York, said ''a couple of years ago I would have been given a medal for shooting some of the people I'm meeting with.''  ''It blows my mind,'' he went on.  ''What a crazy world this is.''  LANGUAGE: ENGLISH                      ",December 21 1981 ,2
"   , Vietnam, Dec. 22   Foreign Minister Nguyen Co Thach told visiting Americans on Monday that Vietnam would welcome specialists who wanted to study the impact of the herbicide Agent Orange used during the war.  At the conclusion of a 90-minute meeting with four American veterans of the Vietnam War, Mr. Thach embraced each one of them and said: ''We are all victims; we are not enemies.''  In his remarks, he charged that the Reagan Administration remained hostile toward Vietnam and he denied that the Vietnamese were withholding information about the fate of 2,500 Americans missing in action.  He said Hanoi would henceforth deal on the issue with the Vietnam veterans' group and not with Washington.  ''The Vietnamese Government will cooperate with you on the missing in action on a humanitarian basis without any conditions,'' he said.  ''We will cooperate with you, not with Reagan and the Administration. They have repaid our humanitarian activity with hostility.''  One of the Americans, Robert O. Muller, who is executive director of the Vietnam Veterans of America, said later that he ''welcomed this new initiative.'' He said his group would deal with Vietnam's mission to the United Nations.  Mr. Thach, who spoke in English, welcomed the visitors by saying: ''The way for friendship is very long. The way for war is very short. The American people must come to know the Vietnamese people.  We must cooperate with one another. Tell your people that, between Vietnam and the American people, there was no victory or defeat. We were all victims. It was a war of Johnson and Nixon against the American people.''  Mr. Muller, a former Marine officer crippled in the war, said the ''priority issues'' were the question of the missing in action as well as the problem of the herbicide, which was sprayed as a defoliant in South Vietnam and may cause cancer and birth defects.  Mr. Thach agreed to Mr. Muller's suggestion that American physicians and scientists come to Vietnam to assess the impact of the herbicide. Mr. Muller said his aim was to use the possible findings in connection with claims by veterans that they and their offspring had been affected.  Mr. Thach said, ''We will cooperate with you,'' but he added that the Vietnamese Government would grant visas only to investigators who were ''independent and not connected with Reagan.'' Mr. Muller assured him that there were people not connected with the Government who would come.  LANGUAGE: ENGLISH                      ",December 23 1981 ,2
"    Four American Vietnam veterans walked through the looking glass last week and got a glimpse of what the war had been like on the other side. Whether their visit to Hanoi achieved much toward their main goal - clarifying the fate of 2,500 Americans still listed as missing in action - was questionable.  But they said it did help them come to terms with their lingering feelings of anger, guilt and fear.  ""The war finally stopped in my mind,"" said former infantryman Tom Bird.  The sight of a Soviet MIG-21 perched atop the wreckage of an American B-52 in Hanoi war museum brought it all back for former Air Force Sgt. Michael Harbert, much as the mothballed World War II bomber did for Dana Andrews in Frank Capra's film, ""The Best Years of Our Lives.""  Mr. Harbert burst into tears.  ""I haven't cried in 14 years,"" he said. ""It's the face-to-face reality of seeing that MIG, with its 14 stars meaning it shot down 14 planes . . . They are proud of it, but I guess they have a right to be, but it just upset me.""  The veterans also met with Foreign Minister Nguyen Co Thach.  He asked them to serve as a liaison with Hanoi, with which Washington has no diplomatic relations, to help resolve the issue of the missing-inaction.  Some anguished American families believe that some of the missing are still being held as prisoners.  Hanoi denies this and also says that it has turned over all remains of American servicemen that it has found.  The Vietnamese Foreign Minister also said Vietnam would admit American doctors and scientists not connected with the Reagan Government to assess the effects of Agent Orange, a defoliant blamed by veterans for severe health problems.  The Americans, members of the Vietnam Veterans of America, said they were aware that their visit might be used for propaganda in Vietnam and attract bad publicity at home.  The Vietnamese remarked on the friendliness of the Americans, who strolled the streets passing out candy and chewing gum to children, for all the world like they were still G.I.'s.  LANGUAGE: ENGLISH                      ",December 27 1981 ,2
"    The Vietnam War is over, but hostilities continue. The intemperate words ''fraud'' and ''total disgrace'' are being unjustly flung at four Americans for becoming the first Vietnam veterans to journey to Hanoi. The accusers do not speak for the United States; they are an embittered remnant who should not be allowed to add sense and humanity to the war's casualty list.  The Reagan Administration endorsed this trip, for America has an interest in finally resolving the fate of 2,500 servicemen missing in action. That cannot be done without Vietnam's cooperation. Since Hanoi has resisted official inquiries, the Administration plainly sees nothing disgraceful in trying another route. The State Department counseled the four Americans, all members of the middleof-the-road Vietnam Veterans of America.  Vietnam may be telling the truth in insisting that it is withholding nothing on M.I.A.'s. But it will take persistent and urgent inquiries before survivors are persuaded. To cry fraud or to refuse any contact with Vietnam won't bring back the missing. Neither will it help determine how lasting is the damage caused in Vietnam by Agent Orange, another matter of passionate concern to the war's veterans.  Plainly, Hanoi had a wider purpose in inviting the American veterans. Economically hard pressed, and eager to lessen its dependence on the Soviet Union, it hopes for better diplomatic and trading relations with the United States. But the chief obstacle remains: the Vietnamese Army still occupies Cambodia.  What also remains is the Vietnamese delusion that Americans somehow oppose their own Government's policy and, out of guilt, want to make one-sided amends by normalizing relations. Who better to dispel that delusion than Americans who fought in Vietnam?  LANGUAGE: ENGLISH  TYPE: Editorial                      ",December 29 1981 ,2
"   , N.Y.   An American flag waves above the front lawn in the breeze. Inside the modest house, the floors are crowded with filing cabinets and cartons bulging with photocopies of documents obtained under the Freedom of Information Act from the Central Intelligence Agency and the Departments of State and Defense.  One wall bears a huge map of Southeast Asia, with scattered sites circled in red ink. Aging photographs of a dark-eyed and short-haired young man in uniform stare solemnly from tabletops and mantels.  ''Nick was 38 on May 18,'' said Gladys Brooks, her tone conversational and matter-of-fact, but she and her husband, George, have not seen their son in more than 11 years. His bomber was shot down over Laos in January 1970, and aside from one early report - that Lieut. Nicholas Brooks had survived the crash, had been captured and escaped twice -he has not been heard from since.  But Mr. and Mrs. Brooks believe that he may be alive in one of those places ringed with red ink on the map, held with other American soldiers in Communist camps. For 11 years, the Brookses and hundreds of other members of the National League of Families of American Prisoners and Missing in Action in Southeast Asia have waited and hoped. They have also worked to keep the issue of their lost loved ones from vanishing with other memories of the Vietnam War that many prefer to forget.  'The Deep-Freeze Treatment'  In the early years, the Brookses recall, they were honored at the White House, serenaded with stirring renditions of ''The Impossible Dream'' and lauded by the President and Secretary of State for their patriotism. But when the war ended for the United States in 1973, Mrs. Brooks said bitterly: ''All the doors were closed. It was the deep-freeze treatment. This is such a cover-up it makes Watergate look like child's play.''  ''The Government doesn't have the solution, so they don't want to make it known that there is a problem,'' Mr. Brooks said. ''It is too much trouble to try to get these men out, it's not politically feasible, so they just want to submerge the whole thing and wipe the slate clean.''  Two years ago, the Government changed Lieutenant Brooks's status from ''missing in action'' to ''presumed killed in action,'' although there was no new evidence concerning his fate. Until last week, the Brookses and many of the other families of the missing say, the Government had not cooperated with their attempts to discover what happened to the more than 2,500 American servicemen still unaccounted for in Southeast Asia.  But last week, a group of C.I.A.-trained Laotians were sent on a secret mission into Laos to investigate evidence from spy satellite photographs and other sources that Americans might be held in a Laotian prison camp. After photographs taken by the group were examined by Government photo interpreters, Henry Catto, Assistant Secretary of Defense for Public Affairs, announced that ''absolutely no credible evidence of the existence of any M.I.A.'s'' had been found.  Began Inquiry on Own  ''We know it's a lie, but there isn't a damned thing we can do about it,'' said Mr. Brooks, who is 62 and an engineer.  Three years ago, frustrated by the Government's inaction, the Brookses began their own investigation. They placed advertisements in Vietnamese and Laotian-language publications around the world requesting that refugees with any information about American prisoners contact them.  The letters have flooded in ever since, with more than 1,000 reports of various kinds, including 317 purported eyewitness sightings of American prisoners. Some of the reports are as recent as early this year, and the stories told by the refugees are chilling.  A Laotian wrote that three Americans had been held prisoner in a cave in Laos: ''They were arrested by the Communists and were kept there. One American was captured 12 or 13 years ago.'' Another Laotian told of 50 Americans ''guarded by the Lao Communist military'' and said that ''sixteen persons were serious sick and the others are sick.''  'We're Pragmatic People'  Such reports have spurred the Brookses to persevere. They spend all their free time - nights, weekends ''and I haven't had a vacation in 11 years,'' said Mr. Brooks - analyzing the flow of information, cataloging the reports and poring over the documents they have obtained from the Government.  ''Our interest is in the whole group of men, not just our son,'' said Mr. Brooks, a World War II Navy veteran who was missing in action after his ship was torpedoed in the Mediterranean. ''We're pragmatic people. We know people get killed in wars. But it's the not knowing that hurts. I'm not saying my son is alive. What I'm saying is that I don't know that he's dead. We have proven beyond a shadow of a doubt that Americans are still being held over there. But it just seems like nobody gives a damn.''  LANGUAGE: ENGLISH  GRAPHIC: Illustrations: photo of Lieut.Nicholas Brooks,with parents George and Gladys                      ",May 29 1981 ,2
"      Today, more than 14 years after he was listed as missing in action over North Vietnam, Comdr. Ronald W. Dodge of the Navy was buried in Arlington National Cemetery.  His family wept as three volleys fired by an honor guard shattered the quiet above his final resting place. The mournful, distant sound of taps brought back memories of long-ago, happier times.  Commander Dodge's remains, with those of two other pilots missing in Vietnam, were turned over to American authorities two weeks ago by the Vietnamese Government. The burial provided an answer, at last, to the question that had been nagging Janis Dodge and her children since May 1967.  Their ordeal ended, in a sense, at 3:30 this afternoon, as a band played ''America the Beautiful,'' Mrs. Dodge stepped forward and laid a single yellow rose on the silver-gray military coffin wherein rested all that was left of Ronald Dodge.  Ordeal of Families Goes On  But for the families of the 2,456 servicemen still listed as missing in action in Southeast Asia - the so-called MIAs -the ordeal goes on. Many of the families are beginning to wonder whether there ever will be a final answer to the question that, for them, will not go away: ''Is he still alive?'' During Commander Dodge's funeral, the chaplain seemed to look to the heavens for an answer, calling on God to ''grant Thy great mercy on all MIAs.''  Officials of the National League of Families of American Prisoners and Missing in Southeast Asia place primary blame for the long delay on Vietnamese authorities. They call the Vietnamese callous, cruel and unconcerned. But the league also asserts that American officials have not done enough.  ''The U.S. Government really hasn't scratched the surface on this thing,'' George L. Brooks, a league director from Newburgh, N.Y., said as he watched gravediggers lower Commander Dodge's coffin into a grassy hillside behind the Tomb of the Unknown Soldier.  ''They'e got about 30 people working on it when they should have 300,'' he added. ''But I'll admit that under Reagan they're doing more than they used to.''  Officer Reported Seen Alive  Mr. Brooks is the father of Lieut. Nicholas Brooks, a Navy pilot whose A-6 jet went down over Laos on Jan. 2, 1970. Mr. Brooks speaks of him in the present tense - ''he's 38, now'' - because the family has been told that some Laotians saw the lieutenant alive on the ground.  The official position of the State Department and the Department of Defense is that almost all of the missing men are ''presumed dead'' since combat ended for Americans almost a decade ago.  Government officials assert, further, that all that can be done is being done to persuade the Vietnamese to find and return bodies.  Privately, some Government officials have serious doubts that all of the men are dead. At least one behind-the-lines search mission reportedly has been mounted - it apparently turned up nothing - and the director of the Defense Intelligence Agency, Lieut. Gen. Eugene F. Tighe, recently told Congress he was ''personally'' convinced that some were still alive because of the stream of ''live sighting'' reports from refugees. As a result of those reports, the Defense Department's staff concerned with the missing has been doubled, to about three dozen people.  Military Authorities Working  ''We work at it constantly,'' said Lieut. Col. John Fer, of the Air Force, the Defense Department's principal adviser on missing-inaction affairs.  ''We send a constant stream of information and questions to the Vietnamese,'' he continued, ''but they mainly approach it on a 'Don't call us, we'll call you' basis.''  Thus far, after eight years of intermittent meetings and discussions, the remains of 78 servicemen have been returned. Besides the body of Commander Dodge, a native of Olympia, Wash., who would have been 45 years old last month, the latest turnover included the remains of Capt. Richard H. Van Dyke of the Air Force, a pilot from Salt Lake City, and the remains of Lieut. Stephen O. Musselman of the Air Force, a pilot from Texarkana, Tex.  Defense Department officials said the death certificates accompanying the bodies asserted that the men had died when their planes went down. No other information was provided, not even an explanation as to what happened to Commander Dodge, who was photographed alive after being downed. That picture appeared in many publications in the late 1960's, and both lifted and depressed the Dodge family.  The denial of information ''is the same sort of thing the Vietnamese did with the French after they pulled out of Vietnam,'' Gladys Brooks, Lieutenant Brooks's mother, said this afternoon. ''It just tears at you.''  However, officials of the League of Families report that most relatives of missing men are not suffering serious psychological or economic hardship. ''The military has death benefits and all that and a lot of the children were too young when their daddies went down to remember much,'' said Carol Bates, the league's director of public affairs.  What Was Dad Like?  ''But,'' she added, ''how do you reorder your life if you don't really know whether your husband is dead, or how do you grow up without wondering a lot what your dad was really like? That's what's happening. They're the things that are bothering people.''  The wondering has intensified even more as refugees and other travelers continue to bring out reports. '' League officials say they have been told privately by officials that some of the people providing information have passed lie detector tests on their stories of seeing Americans held in jungle camps.  ''We've even got a good report that they're holding 400 bodies in Hanoi,'' George Brooks said as he left Commander Dodge's gravesite.  The coffin had been lowered into a vault and the sound of another firing squad was echoing off the hillsides.  ''Will I ever see Nick again?'' he asked, musing as a fresh summer rain fell. ''I don't know. I don't know whether he's alive. Worse, I don't know whether he's dead.''  LANGUAGE: ENGLISH  GRAPHIC: Illustrations: photos of Ronald Dodge's military funeral                      ",July 24 1981 ,2
"    To the Editor:  With regard to your Dec. 30 editorial ''Apocalypse Forever?'' pertaining to the four Vietnam-era veterans who recently visited Hanoi, I am amazed at The Times's naive view of both the veterans' and the Communists' motives for the trip.  The Reagan Administration certainly did not endorse this Penthouse magazine-sponsored trip. It was simply that t here was no way to stop it. Thus the veterans were briefed by both th e State and Defense Departments, to acquire a quick education on the P.O.W./M.I.A. issue and be cautioned against being used for propa ganda by the Vietnamese.Members of Congress familiar with this issue provided similar counsel, as did the National  League of P.O.W./M.I.A. Families.  While the league certainly welcomes help and support from concerned Americans, it is frankly appalling that Robert Muller and his associates have yet to contact our organization to brief us on the results of the trip, particularly since one of their alleged issues was accounting for the 2,500 missing Americans.  The Times is erroneous in attributing credibility to Hanoi's claims that it possesses no information on the missing. There is convincing evidence that live Americans are still being held in Vietnam, and there is valid intelligence data to prove that the Vietnamese are currently warehousing the remains of over 400 Ameri-cans. The group was briefed on this evidence by the Defense Intelligence Agency, rendering Mr. Muller's parroting of Communist denials even more astounding.  P.O.W./M.I.A. families have no desire to prolong the war; we simply want to know what happened to our men. Hanoi has answers and our Government will eventually have to deal directly with them to resolve the issue. Giving Mr. Muller the benefit of presuming his stated motives to be valid, the P.O.W./M.I.A. issue is a serious problem and there is little room for amateur diplomats.  ANN MILLS GRIFFITHS Executive Director, National League of Families of American Prisoners and Missing in Southeast Asia Washington, Dec. 30, 1981  LANGUAGE: ENGLISH  TYPE: Letter                      ",January 25 1982 ,2
"   , Thailand, Feb. 21   The United States Deputy Assistant Secretary of Defense, Richard L. Armitage, arrived here today en route to Hanoi on a trip designed to underline American concern over some 2,400 Americans still officially listed by the Pentagon as missing in action in Vietnam, Laos and Cambodia.  Mr. Armitage is to arrive in Hanoi Tuesday as the leader of a fiveman delegation. Washington and Hanoi have no formal diplomatic relations.  Mr. Armitage, the highest ranking member of the Reagan Administration ever to visit Vietnam, and his group will have two days of discussions on the issue. Vietnam insists that it is holding no United States troops.  LANGUAGE: ENGLISH                      ",February 22 1982 ,2
