name,tokens,start,end
James,"The most money ever paid for a cow in an auction was $1.3 million.

",0.484458657,1.497200802
Linzhou,Henry Ford produced the model T only in black because the black paint available at the time was the fastest to dry.,2.568626167,3.809800104
Reid,"When you die your hair still grows for a couple of months.

",4.341053099,5.597328146
James,President Kennedy was the fastest random speaker in the world with upwards of 350 words per minute.,6.965067974,7.671762139
James,The human heart creates enough pressure to squirt blood 30 feet (9 m).,8.38233249,9.288358091
Linzhou,There are 10 human body parts that are only 3 letters long (eye hip arm leg ear toe jaw rib lip gum).,10.77190413,11.89953945
Reid,The king of hearts is the only king without a moustache.,12.35708567,13.92118221
Linzhou,"When you die your hair still grows for a couple of months.

",14.58749508,15.29588303
James,The human heart creates enough pressure to squirt blood 30 feet (9 m).,16.38137949,17.46456474
Reid,"Mario, of Super Mario Bros. fame, appeared in the 1981 arcade game, Donkey Kong. His original name was Jumpman, but was changed to Mario to honor the Nintendo of America's landlord, Mario Segali.",18.65412604,19.61823008
James,"The word ""lethologica"" describes the state of not being able to remember the word you want.",20.05090658,21.9694088
James,The 57 on Heinz ketchup bottles represents the number of varieties of pickles the company once had.,22.14256713,23.65739129
Linzhou,"Rhode Island is the smallest state with the longest name. The official name, used on all state documents, is ""Rhode Island and Providence Plantations.""",24.29317156,25.5550992
Reid,President Kennedy was the fastest random speaker in the world with upwards of 350 words per minute.,26.4069642,27.61628711
Reid,Henry Ford produced the model T only in black because the black paint available at the time was the fastest to dry.,28.95377102,29.38169253
Linzhou,"Karoke means ""empty orchestra"" in Japanese",30.33162539,31.40917255
James,"The newspaper serving Frostbite Falls, Minnesota, the home of Rocky and Bullwinkle, is the Picayune Intellegence.",32.87342135,33.87142007
Reid,There are 10 human body parts that are only 3 letters long (eye hip arm leg ear toe jaw rib lip gum).,34.7392253,35.29713379
Reid,Women are 37% more likely to go to a psychiatrist than men are.,36.44592291,37.59235609
Linzhou,"It is believed that Shakespeare was 46 around the time that the King James Version of the Bible was written. In Psalms 46, the 46th word from the first word is shake and the 46th word from the last word is spear.",38.96750836,39.68123522
Reid,"It would take 11 Empire State Buildings, stacked one on top of the other, to measure the Gulf of Mexico at its deepest point.",40.15255133,41.81412288
James,"Each of the suits on a deck of cards represents the four major pillars of the economy in the middle ages: heart represented the Church, spades represented the military, clubs represented agriculture, and diamonds represented the merchant class.",42.80923106,43.38754267
Reid,"The surface area of an average-sized brick is 79 cm squared.

",44.45544822,45.05730284
Reid,The human heart creates enough pressure to squirt blood 30 feet (9 m).,46.95644319,47.98828714
Linzhou,A skunk's smell can be detected by a human a mile away.,48.77221248,49.13608687
Reid,"1 in 5,000 north Atlantic lobsters are born bright blue.",50.37182424,51.62418568
Reid,"Every year about 98% of the atoms in your body are replaced.

",52.12293243,53.84694613
Linzhou,"It would take 11 Empire State Buildings, stacked one on top of the other, to measure the Gulf of Mexico at its deepest point.",54.81572004,55.27825524
James,Stressed is Desserts spelled backwards.,56.48466432,57.06872393
Linzhou,"Karoke means ""empty orchestra"" in Japanese",58.93489717,59.36941137
Reid,Diet Coke was only invented in 1982.,60.22805384,61.92447376
James,The human heart creates enough pressure to squirt blood 30 feet (9 m).,62.72689655,63.89583858
Reid,Diet Coke was only invented in 1982.,64.27372139,65.44013921
Reid,The international telephone dialing code for Antarctica is 672.,66.94020799,67.519779
Reid,"When snakes are born with two heads, they fight each other for food.",68.101904,69.22161068
Linzhou,The king of hearts is the only king without a moustache.,70.1599195,71.57487967
